,NomeEstacao,Operadora,Responsavel,Municipio-UF,NomeRio,Origem,StatusEstacao,CodEstacao,Bacia,SubBacia,CodRio,Latitude,Longitude,Altitude
1,UHE BELO MONTE BR230,00594 - NORTE ENERGIA - NORTE ENERGIA,00594 - NORTE ENERGIA - NORTE ENERGIA,VITÓRIA DO XINGU-PA,None,Setor Elétrico,Ativo,00351004,1,18,0,-3.12670,-51.79060,33.00
2,UHE BELO MONTE SÍTIO PIMENTAL,00594 - NORTE ENERGIA - NORTE ENERGIA,00594 - NORTE ENERGIA - NORTE ENERGIA,VITÓRIA DO XINGU-PA,None,Setor Elétrico,Ativo,00351005,1,18,0,-3.37580,-51.94030,110.00
3,UHE BELO MONTE VISTA ALEGRE,00594 - NORTE ENERGIA - NORTE ENERGIA,00594 - NORTE ENERGIA - NORTE ENERGIA,ALTAMIRA-PA,None,Setor Elétrico,Ativo,00352009,1,18,0,-3.11860,-52.25250,125.00
4,UHE BELO MONTE SÃO FRANCISCO,00594 - NORTE ENERGIA - NORTE ENERGIA,00594 - NORTE ENERGIA - NORTE ENERGIA,ALTAMIRA-PA,None,Setor Elétrico,Ativo,00352010,1,18,0,-3.25330,-52.34890,124.00
5,UHE BELO MONTE JOARI,00594 - NORTE ENERGIA - NORTE ENERGIA,00594 - NORTE ENERGIA - NORTE ENERGIA,SÃO FÉLIX DO XINGÚ-PA,None,Setor Elétrico,Ativo,00652002,1,18,0,-6.56030,-52.07640,0.00
6,MÂNCIO LIMA,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,MÂNCIO LIMA-AC,None,RHN,Manutenção,00772006,1,12,0,-7.59360,-72.92610,216.00
7,SÃO LOURENÇO DA MATA II,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,SÃO LOURENÇO DA MATA-PE,None,RHN,Ativo,00835048,3,39,0,-7.99860,-35.03190,70.00
8,CARUARU,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,CARUARU-PE,None,RHN,Ativo,00835106,3,39,0,-8.30280,-36.01080,545.00
9,MORRINHOS,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,ALTO PARNAÍBA-MA,None,RHN,Ativo,00946005,3,34,0,-9.62470,-46.29030,356.00
10,SENA MADUREIRA,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,SENA MADUREIRA-AC,None,RHN,Ativo,00968006,1,13,0,-9.05860,-68.65920,190.00
11,SANTA ROSA,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,SANTA ROSA DO PURUS-AC,None,RHN,Ativo,00970003,1,13,0,-9.43860,-70.49220,219.00
12,JORDÃO,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,JORDÃO-AC,None,RHN,Ativo,00971002,1,12,0,-9.19389,-71.94917,239.00
13,UHE ESTREITO RIO PONTE ALTA,00791 - CONS.CESTE - CONS.CESTE,00791 - CONS.CESTE - CONS.CESTE,PONTE ALTA DO TOCANTINS-TO,None,Setor Elétrico,Ativo,01047009,2,22,0,-10.74610,-47.53720,316.00
14,UHE COLIDER METEOROLÓGICA,00028 - COPEL - COPEL,00028 - COPEL - COPEL,COLIDER-MT,None,Setor Elétrico,Ativo,01055005,1,17,0,-10.95470,-55.77810,0.00
15,PCH ÂNGELO CASSOL MONTANTE,00768 - ÂNGELO CASSOL - ÂNGELO CASSOL,00768 - ÂNGELO CASSOL - ÂNGELO CASSOL,ALTA FLORESTA D''OESTE-RO,None,Setor Elétrico,Ativo,01162007,1,15,0,-11.92920,-62.08780,292.00
16,PCH MONTE BELO MONTANTE,00307 - ELETROSSOL - ELETROSSOL,00307 - ELETROSSOL - ELETROSSOL,ALTA FLORESTA D''OESTE-RO,None,Setor Elétrico,Ativo,01162008,1,15,0,-11.95560,-62.17940,316.00
17,PCH SALDANHA PLU,01109 - HIDROLUZ - Hidroluz Centrais Elétricas Ltda.,01109 - HIDROLUZ - Hidroluz Centrais Elétricas Ltda.,ALTA FLORESTA D''OESTE-RO,None,Setor Elétrico,Ativo,01162011,1,15,0,-11.95860,-62.18390,310.00
18,PCH CABIXI MONTANTE,00686 - CASSOL - CASSOL,00686 - CASSOL - CASSOL,VILHENA-RO,None,Setor Elétrico,Ativo,01260008,1,15,0,-12.89920,-60.10830,612.00
19,PCH CASCATA CHUPINGUAIA PLU,00561 - CHUPINGUAIA - CHUPINGUAIA,00561 - CHUPINGUAIA - CHUPINGUAIA,CHUPINGUAIA-RO,None,Setor Elétrico,Ativo,01260012,1,15,0,-12.85420,-60.85060,267.00
20,"PCH SANTA LUZIA D""""OESTE PLU",00559 - BERGAMIN - BERGAMIN,00559 - BERGAMIN - BERGAMIN,ALTO ALEGRE DOS PARECIS-RO,None,Setor Elétrico,Ativo,01261002,1,15,0,-12.34330,-61.76920,356.00
21,UHE MANSO MET,00809 - CONS.MANSO - CONS.MANSO,00809 - CONS.MANSO - CONS.MANSO,CHAPADA DOS GUIMARÃES-MT,None,Setor Elétrico,Ativo,01455013,6,66,0,-14.86140,-55.78940,344.00
22,PCH MACHADO MINEIRO PASSAGEM DAS ÉGUAS,00239 - HORIZONTES - Horizontes Energia S.A.,00239 - HORIZONTES - Horizontes Energia S.A.,RIO DO PRADO-MG,None,Setor Elétrico,Ativo,01542030,5,53,0,-15.60920,-42.54170,0.00
23,ANA SEDE,00001 - ANA - Agência Nacional de Águas ,00001 - ANA - Agência Nacional de Águas ,BRASÍLIA-DF,None,GDH,Ativo,01547032,6,60,0,-15.81810,-47.94500,1150.00
24,ANA SEDE (COTA ONLINE),00001 - ANA - Agência Nacional de Águas ,00001 - ANA - Agência Nacional de Águas ,BRASÍLIA-DF,None,CotaOnline,Manutenção,01547032,6,60,0,-15.81805,-47.94500,1150.00
25,ANA SEDE - TELEMÉTRICA,00001 - ANA - Agência Nacional de Águas ,00001 - ANA - Agência Nacional de Águas ,BRASÍLIA-DF,None,RHN,Ativo,01547079,6,60,0,-15.81810,-47.94500,1150.00
26,UHE SERRA DA MESA BARRO ALTO,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,BARRO ALTO-GO,None,Setor Elétrico,Ativo,01548050,2,20,0,-15.11750,-48.92420,584.00
27,UHE BATALHA CRISTALINA,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,CRISTALINA-GO,None,Setor Elétrico,Ativo,01647002,6,60,0,-16.78810,-47.60330,1173.00
28,UHE BATALHA FAZENDA BURITI,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,CRISTALINA-GO,None,Setor Elétrico,Ativo,01647023,6,60,0,-16.96830,-47.34190,881.00
